step,tag,value
0,train/acc,0.47040000557899475
0,train/acc,0.4639500081539154
0,train/acc,0.45809999108314514
0,train/acc,0.4602000117301941
0,train/acc,0.4591499865055084
1,train/acc,0.630774974822998
1,train/acc,0.6224499940872192
1,train/acc,0.6215749979019165
1,train/acc,0.6214249730110168
1,train/acc,0.6205999851226807
2,train/acc,0.7127000093460083
2,train/acc,0.701324999332428
2,train/acc,0.7081000208854675
2,train/acc,0.7037000060081482
2,train/acc,0.7057999968528748
3,train/acc,0.7542750239372253
3,train/acc,0.7541999816894531
3,train/acc,0.75142502784729
3,train/acc,0.7495250105857849
3,train/acc,0.7522749900817871
4,train/acc,0.7835249900817871
4,train/acc,0.7809749841690063
4,train/acc,0.7802249789237976
4,train/acc,0.782325029373169
4,train/acc,0.7807000279426575
5,train/acc,0.8105250000953674
5,train/acc,0.8090999722480774
5,train/acc,0.8076750040054321
5,train/acc,0.8065999746322632
5,train/acc,0.8110250234603882
6,train/acc,0.8348000049591064
6,train/acc,0.833774983882904
6,train/acc,0.8317750096321106
6,train/acc,0.837975025177002
6,train/acc,0.8342000246047974
7,train/acc,0.8561499714851379
7,train/acc,0.856374979019165
7,train/acc,0.8521999716758728
7,train/acc,0.8553749918937683
7,train/acc,0.8559499979019165
8,train/acc,0.8749499917030334
8,train/acc,0.8719249963760376
8,train/acc,0.8714749813079834
8,train/acc,0.8751749992370605
8,train/acc,0.8737750053405762
9,train/acc,0.8917999863624573
9,train/acc,0.8929749727249146
9,train/acc,0.8872249722480774
9,train/acc,0.8906000256538391
9,train/acc,0.892300009727478
10,train/acc,0.9088249802589417
10,train/acc,0.9078999757766724
10,train/acc,0.9075000286102295
10,train/acc,0.9089999794960022
10,train/acc,0.9104250073432922
11,train/acc,0.9278749823570251
11,train/acc,0.9263499975204468
11,train/acc,0.9250500202178955
11,train/acc,0.9271500110626221
11,train/acc,0.9282000064849854
12,train/acc,0.9432500004768372
12,train/acc,0.942799985408783
12,train/acc,0.9415500164031982
12,train/acc,0.944724977016449
12,train/acc,0.9431250095367432
13,train/acc,0.9582250118255615
13,train/acc,0.960349977016449
13,train/acc,0.958050012588501
13,train/acc,0.9589750170707703
13,train/acc,0.9606500267982483
14,train/acc,0.9720500111579895
14,train/acc,0.9720749855041504
14,train/acc,0.9711499810218811
14,train/acc,0.9713749885559082
14,train/acc,0.9710249900817871
15,train/acc,0.9822250008583069
15,train/acc,0.9831500053405762
15,train/acc,0.981374979019165
