step,tag,value
0,train/acc,0.4349749982357025
0,train/acc,0.4380500018596649
0,train/acc,0.43927499651908875
0,train/acc,0.42719998955726624
0,train/acc,0.43137499690055847
1,train/acc,0.5861499905586243
1,train/acc,0.5942749977111816
1,train/acc,0.5968000292778015
1,train/acc,0.5929999947547913
1,train/acc,0.5873249769210815
2,train/acc,0.6657500267028809
2,train/acc,0.6619250178337097
2,train/acc,0.6679750084877014
2,train/acc,0.6734499931335449
2,train/acc,0.6607750058174133
3,train/acc,0.7136250138282776
3,train/acc,0.7035999894142151
3,train/acc,0.7100499868392944
3,train/acc,0.7122499942779541
3,train/acc,0.711775004863739
4,train/acc,0.7362499833106995
4,train/acc,0.737625002861023
4,train/acc,0.743274986743927
4,train/acc,0.7406499981880188
4,train/acc,0.7433500289916992
5,train/acc,0.7713500261306763
5,train/acc,0.7613499760627747
5,train/acc,0.7646999955177307
5,train/acc,0.7705749869346619
5,train/acc,0.7753499746322632
6,train/acc,0.7930750250816345
6,train/acc,0.7870000004768372
6,train/acc,0.7877749800682068
6,train/acc,0.7928500175476074
6,train/acc,0.795324981212616
7,train/acc,0.8133749961853027
7,train/acc,0.8162500262260437
7,train/acc,0.8202250003814697
7,train/acc,0.8122249841690063
7,train/acc,0.8110250234603882
8,train/acc,0.8297749757766724
8,train/acc,0.8273000121116638
8,train/acc,0.8253999948501587
8,train/acc,0.8318750262260437
8,train/acc,0.8384000062942505
9,train/acc,0.8510249853134155
9,train/acc,0.8483250141143799
9,train/acc,0.8445000052452087
9,train/acc,0.8435750007629395
9,train/acc,0.8389000296592712
10,train/acc,0.8622999787330627
10,train/acc,0.849049985408783
10,train/acc,0.8593500256538391
10,train/acc,0.8636249899864197
10,train/acc,0.8612499833106995
11,train/acc,0.8751000165939331
11,train/acc,0.8761500120162964
11,train/acc,0.8824499845504761
11,train/acc,0.885200023651123
11,train/acc,0.8804749846458435
12,train/acc,0.8918750286102295
12,train/acc,0.8882750272750854
12,train/acc,0.8978999853134155
12,train/acc,0.8840000033378601
12,train/acc,0.8937249779701233
13,train/acc,0.915274977684021
13,train/acc,0.9045000076293945
13,train/acc,0.9071499705314636
13,train/acc,0.9105250239372253
13,train/acc,0.9132500290870667
14,train/acc,0.9229249954223633
14,train/acc,0.9293249845504761
14,train/acc,0.9219250082969666
14,train/acc,0.9155499935150146
14,train/acc,0.9213500022888184
15,train/acc,0.9332000017166138
15,train/acc,0.9330750107765198
15,train/acc,0.9326500296592712
15,train/acc,0.9422749876976013
15,train/acc,0.937624990940094
16,train/acc,0.9391250014305115
16,train/acc,0.933775007724762
16,train/acc,0.946274995803833
16,train/acc,0.9415749907493591
16,train/acc,0.9374499917030334
17,train/acc,0.9460499882698059
17,train/acc,0.9380499720573425
17,train/acc,0.9438750147819519
17,train/acc,0.9492999911308289
17,train/acc,0.9416750073432922
18,train/acc,0.9520249962806702
18,train/acc,0.9466999769210815
18,train/acc,0.9447500109672546
18,train/acc,0.9467750191688538
18,train/acc,0.9422749876976013
19,train/acc,0.9487249851226807
19,train/acc,0.9560999870300293
19,train/acc,0.9408000111579895
19,train/acc,0.9456499814987183
19,train/acc,0.9469000101089478
0,train/loss,1.6796318292617798
0,train/loss,1.6610413789749146
0,train/loss,1.6613937616348267
0,train/loss,1.6765726804733276
0,train/loss,1.6778016090393066
1,train/loss,1.3461787700653076
1,train/loss,1.3149677515029907
1,train/loss,1.3288562297821045
1,train/loss,1.3290247917175293
1,train/loss,1.3486422300338745
2,train/loss,1.1746184825897217
2,train/loss,1.1874315738677979
2,train/loss,1.1685112714767456
2,train/loss,1.1714587211608887
2,train/loss,1.1852959394454956
3,train/loss,1.0863282680511475
3,train/loss,1.097118616104126
3,train/loss,1.0733131170272827
3,train/loss,1.0627487897872925
3,train/loss,1.0636682510375977
4,train/loss,1.026558756828308
4,train/loss,1.0101162195205688
4,train/loss,1.0095016956329346
4,train/loss,1.0106312036514282
4,train/loss,0.9804926514625549
5,train/loss,0.9485777616500854
5,train/loss,0.9799273610115051
5,train/loss,0.9454488158226013
5,train/loss,0.9262229204177856
5,train/loss,0.9136308431625366
6,train/loss,0.8965444564819336
6,train/loss,0.8865052461624146
6,train/loss,0.9190389513969421
6,train/loss,0.8923465609550476
6,train/loss,0.8790029287338257
7,train/loss,0.833901584148407
7,train/loss,0.8279186487197876
7,train/loss,0.8299057483673096
7,train/loss,0.846383810043335
7,train/loss,0.8379680514335632
8,train/loss,0.7806926369667053
8,train/loss,0.8013272285461426
8,train/loss,0.8065738677978516
8,train/loss,0.7706051468849182
8,train/loss,0.7742165327072144
9,train/loss,0.7139074206352234
9,train/loss,0.7223833203315735
9,train/loss,0.7440155744552612
9,train/loss,0.742236316204071
9,train/loss,0.7711445689201355
10,train/loss,0.7123023867607117
10,train/loss,0.7287753820419312
10,train/loss,0.6968481540679932
10,train/loss,0.6838371753692627
10,train/loss,0.6673450469970703
11,train/loss,0.6436063051223755
11,train/loss,0.6515737175941467
11,train/loss,0.6306474208831787
11,train/loss,0.6201748251914978
11,train/loss,0.6368787884712219
12,train/loss,0.6033785939216614
12,train/loss,0.6153584122657776
12,train/loss,0.6034420132637024
12,train/loss,0.6192579865455627
12,train/loss,0.6108165979385376
13,train/loss,0.5382623076438904
13,train/loss,0.5756790041923523
13,train/loss,0.5622507929801941
13,train/loss,0.5550442337989807
13,train/loss,0.5491892695426941
14,train/loss,0.5169252157211304
14,train/loss,0.49667325615882874
14,train/loss,0.5319909453392029
14,train/loss,0.5514927506446838
14,train/loss,0.528800904750824
